accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.722,1.878,0.149,6.165,-223.389,211.914
-0.776,2.484,0.102,10.681,-237.793,110.168
-0.998,2.078,0.014,-24.841,-252.625,28.015
-1.288,1.595,0.257,-66.895,-284.180,-30.151
-1.570,1.644,1.055,-54.932,-319.824,-37.109
-1.615,1.923,1.577,-25.696,-328.918,-40.039
-1.695,2.041,2.307,63.843,-279.053,-88.623
-1.889,1.316,1.805,123.962,-181.824,-166.260
-2.104,1.238,1.616,137.695,-161.743,-182.739
-2.552,1.080,2.090,104.736,-161.621,-227.112
-2.677,1.127,2.621,27.283,-150.269,-268.616
-2.982,1.575,3.678,14.587,-119.812,-293.640
-3.293,1.273,4.000,65.674,-6.958,-376.343
-3.450,0.982,4.000,127.441,142.883,-427.490
-3.880,0.947,3.195,253.174,224.670,-444.763
-4.000,-0.751,2.166,295.593,305.237,-537.354
-3.979,-1.505,2.116,292.969,315.735,-486.633
-3.552,-1.892,1.641,335.022,327.087,-397.400
-3.279,-2.312,1.162,352.905,358.459,-212.463
-3.257,-1.971,1.225,300.659,370.667,-84.717
-3.072,-1.361,1.059,175.720,416.016,65.247
-3.111,-1.267,0.657,90.210,450.867,123.535
-3.180,-1.285,0.267,57.495,467.590,147.827
-2.926,-1.505,-0.395,-5.981,460.876,191.223
-2.832,-1.631,-0.451,-53.406,421.875,261.292
-2.741,-1.436,-0.499,-56.641,414.307,304.260
-2.789,-0.924,-0.963,-3.235,425.598,380.310
-2.742,-0.451,-1.561,48.828,409.729,435.974
-2.591,-0.223,-1.770,61.096,372.009,453.369
-2.284,0.410,-1.649,59.143,258.362,474.304
-2.033,0.600,-1.500,46.021,187.256,456.055
-1.740,0.615,-1.351,46.021,169.861,432.617
-1.668,0.490,-1.423,80.933,134.033,409.546
-1.645,0.614,-1.428,100.647,104.736,414.368
-1.451,1.073,-1.059,122.498,26.245,430.481
-1.388,1.213,-0.738,146.912,-14.526,424.805
-1.331,1.365,-0.359,157.104,-7.446,414.551
-1.214,1.711,-0.783,187.378,-2.319,348.572
-1.205,1.803,-0.908,176.697,-15.991,335.632
-1.265,1.803,-0.903,195.618,-78.247,298.645
-1.304,1.419,-0.824,196.289,-137.024,181.946
-1.412,0.799,-0.509,183.411,-174.683,136.292
-1.417,0.709,0.300,190.063,-231.628,137.939
-1.390,1.203,0.351,191.345,-221.191,129.517
-1.362,1.544,0.227,178.345,-214.478,115.479
-1.468,1.899,-0.109,176.025,-230.652,55.542
-1.628,1.581,-0.126,160.522,-269.775,-37.842
-1.858,1.066,0.552,165.100,-299.133,-56.519
-1.854,0.891,1.163,186.096,-302.795,-89.722
-1.755,0.579,1.283,187.866,-247.925,-119.568
-1.640,0.517,1.145,202.576,-218.445,-127.991
-1.506,0.553,1.155,230.042,-189.270,-147.461
-1.544,0.937,1.112,221.497,-150.208,-174.622
-1.718,1.012,1.026,209.473,-136.719,-201.172
-2.064,0.186,0.663,161.682,-139.709,-272.400
-1.864,-0.801,1.536,120.667,-207.886,-290.527
