accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-1.759,0.850,0.161,5.493,-314.453,-9.094
-1.867,0.766,0.257,11.047,-327.515,-17.334
-2.176,0.803,0.415,8.057,-351.501,-20.142
-2.309,0.887,0.636,5.066,-368.164,-21.606
-2.547,0.604,1.064,-0.916,-385.315,-40.161
-2.629,0.350,1.397,-1.160,-390.808,-41.443
-2.615,0.264,1.661,7.568,-394.958,-38.940
-2.527,0.438,1.693,47.302,-378.235,-29.785
-2.456,0.135,2.020,67.322,-373.474,-44.556
-2.352,0.060,2.255,70.801,-367.371,-36.194
-2.056,0.204,3.241,53.833,-350.281,-27.100
-1.550,0.529,3.678,70.740,-276.794,-30.273
-1.335,0.314,3.364,111.023,-167.664,-59.265
-1.058,-0.115,1.662,105.164,-127.808,-61.707
-1.002,-0.149,1.211,24.536,-130.615,-21.973
-0.952,0.413,1.466,2.014,-156.372,24.109
-0.884,1.099,2.105,29.541,-152.954,17.151
-0.747,0.813,2.385,85.815,-117.126,-29.053
-0.648,0.130,1.944,102.600,-62.683,-56.274
-0.628,-0.166,1.728,80.078,-37.415,-36.438
-0.578,0.011,1.513,67.261,-26.123,-14.526
-0.583,0.437,1.394,49.805,-17.334,6.287
-0.607,0.557,1.214,49.683,-4.211,1.465
-0.594,0.498,1.193,45.532,-1.038,-3.601
-0.578,0.387,1.098,36.560,10.986,-7.568
-0.601,0.304,0.981,22.583,23.804,-3.357
-0.607,0.372,0.867,15.930,29.419,2.258
-0.614,0.573,0.542,7.385,38.452,10.681
-0.626,0.657,0.447,4.761,35.583,10.986
-0.620,0.708,0.391,2.502,25.513,6.531
-0.629,0.736,0.490,1.892,19.165,1.953
-0.635,0.696,0.460,1.099,22.339,-1.221
-0.674,0.578,0.556,-5.249,20.935,-5.615
-0.685,0.568,0.481,-7.080,27.710,-2.258
-0.687,0.592,0.385,-6.409,30.457,-0.061
-0.677,0.636,0.241,-3.906,29.297,3.479
-0.669,0.714,0.261,0.122,20.081,6.470
-0.660,0.714,0.283,2.563,17.273,5.554
-0.645,0.743,0.375,4.456,12.878,3.540
-0.640,0.753,0.408,2.197,14.832,-0.610
-0.648,0.697,0.398,2.747,17.212,-2.686
-0.646,0.633,0.327,4.211,17.944,-4.639
-0.647,0.634,0.297,4.883,16.846,-3.784
-0.643,0.600,0.251,5.066,13.489,-3.235
-0.643,0.564,0.374,2.930,6.470,-1.343
-0.651,0.585,0.435,3.967,5.554,0.244
-0.641,0.614,0.466,5.798,8.057,1.038
-0.643,0.603,0.449,6.897,9.521,0.183
-0.641,0.591,0.352,11.108,9.521,-0.061
-0.632,0.606,0.358,10.864,6.836,0.854
-0.617,0.599,0.481,7.751,2.075,0.366
-0.615,0.597,0.510,7.690,3.540,-0.610
-0.617,0.572,0.545,8.301,5.493,-0.916
-0.626,0.575,0.504,7.996,9.949,-0.732
-0.622,0.606,0.398,9.766,13.123,0.000
-0.626,0.641,0.342,7.751,9.338,-0.244
-0.621,0.612,0.463,4.944,2.747,-2.075
-0.622,0.620,0.491,6.165,4.395,-2.930
-0.620,0.554,0.562,5.005,5.005,-4.700
-0.614,0.479,0.662,1.221,8.423,-3.723
-0.613,0.496,0.615,2.258,18.066,1.526
-0.602,0.566,0.539,1.099,17.883,2.502
-0.595,0.654,0.425,1.831,19.958,2.625
-0.601,0.654,0.331,0.305,15.808,-2.136
-0.602,0.534,0.501,-2.197,8.301,-3.113
-0.591,0.502,0.625,-1.038,9.460,-0.427
-0.575,0.506,0.591,1.404,14.771,2.808
-0.567,0.580,0.506,3.601,16.846,5.615
-0.578,0.651,0.313,3.967,17.822,5.005
-0.582,0.670,0.359,1.099,6.104,2.930
-0.575,0.677,0.424,1.160,5.249,0.916
-0.584,0.604,0.406,2.319,3.662,-2.686
-0.595,0.545,0.516,3.540,-2.869,-1.587
-0.599,0.546,0.551,3.174,-2.808,-0.610
-0.593,0.550,0.545,1.465,0.549,1.404
-0.592,0.552,0.530,-0.183,0.793,3.540
-0.575,0.576,0.543,-0.916,0.000,4.272
-0.581,0.653,0.475,0.732,1.892,4.700
-0.573,0.639,0.551,-0.183,-3.052,0.854
-0.573,0.614,0.569,0.183,-2.380,-0.427
-0.579,0.559,0.576,1.160,-0.061,-1.038
-0.582,0.538,0.592,1.465,0.732,0.061
-0.583,0.565,0.568,1.282,3.357,2.136
-0.583,0.586,0.518,1.404,5.371,3.113
-0.582,0.594,0.537,0.183,3.296,2.625
-0.580,0.628,0.518,1.892,4.517,2.380
-0.586,0.619,0.500,2.136,5.310,1.343
-0.592,0.579,0.525,0.427,2.808,-0.061
-0.588,0.579,0.514,-0.854,2.991,0.610
-0.591,0.578,0.490,-1.099,3.113,0.610
-0.586,0.585,0.542,-0.854,0.183,1.160
-0.582,0.586,0.556,-0.671,0.549,1.343
-0.584,0.587,0.501,0.183,3.601,1.160
-0.588,0.599,0.487,0.854,3.174,1.587
-0.591,0.603,0.528,1.221,0.549,1.038
-0.590,0.591,0.571,1.587,1.038,0.183
-0.590,0.579,0.577,2.197,1.953,-0.244
-0.591,0.557,0.498,3.601,4.883,-0.305
-0.594,0.573,0.461,2.930,3.174,1.160
-0.592,0.593,0.493,2.380,1.038,2.075

-1.537,0.815,0.225,-17.883,-262.634,23.132
-1.575,0.611,0.258,-2.625,-264.587,10.620
-1.776,0.805,0.172,21.301,-271.484,13.184
-2.009,0.749,0.533,26.733,-299.622,2.502
-2.099,0.625,0.756,25.818,-310.181,-2.625
-2.161,0.359,1.332,16.846,-325.562,-2.258
-2.026,0.623,1.997,29.724,-322.571,12.878
-1.929,0.848,2.144,44.861,-304.016,12.390
-1.706,0.866,2.084,88.806,-259.949,-16.418
-1.611,0.447,1.483,119.995,-221.802,-43.579
-1.591,0.336,1.481,104.858,-221.436,-35.339
-1.532,0.531,1.529,83.984,-218.567,-31.128
-1.464,0.690,1.716,38.086,-210.693,-26.428
-1.374,0.661,1.774,16.968,-193.176,-31.006
-1.295,0.702,1.818,21.362,-186.096,-32.715
-1.123,1.010,1.672,62.256,-165.039,-42.053
-1.061,0.133,1.570,83.557,-152.161,-80.322
-0.924,0.413,1.852,75.378,-145.569,-46.692
-0.877,0.565,1.828,66.284,-131.226,-40.222
-0.811,0.674,1.460,56.274,-101.135,-46.448
-0.741,0.454,1.187,57.312,-90.271,-58.960
-0.718,0.141,1.214,52.368,-89.844,-63.293
-0.644,0.203,1.464,38.452,-87.952,-39.795
-0.583,0.622,1.410,34.058,-68.420,-27.161
-0.571,0.578,1.212,35.034,-51.270,-39.368
-0.561,0.562,1.157,38.940,-46.814,-42.542
-0.530,0.411,1.153,46.448,-40.466,-48.767
-0.529,0.289,1.181,45.349,-20.325,-46.692
-0.533,0.194,1.008,37.903,-20.508,-41.077
-0.505,0.296,0.973,25.696,-16.785,-27.161
-0.494,0.278,0.894,23.560,-11.841,-23.926
-0.491,0.292,0.877,16.907,-8.850,-14.771
-0.482,0.450,0.812,15.869,-3.113,-6.714
-0.480,0.498,0.790,16.418,-1.282,-6.348
-0.488,0.537,0.677,16.663,4.150,-8.362
-0.498,0.461,0.661,11.292,5.188,-9.277
-0.500,0.466,0.665,8.972,8.911,-4.761
-0.511,0.493,0.577,5.798,10.620,-2.930
-0.534,0.523,0.510,0.305,12.207,-0.122
-0.537,0.556,0.520,-1.709,11.475,1.587
-0.539,0.636,0.500,-1.770,13.306,2.991
-0.537,0.653,0.382,0.366,13.916,2.258
-0.531,0.668,0.434,1.526,9.399,2.808
-0.530,0.663,0.462,2.502,9.338,2.686
-0.532,0.706,0.474,1.709,9.644,4.089
-0.546,0.720,0.464,1.404,10.376,4.089
-0.548,0.737,0.497,1.831,9.766,2.014
-0.567,0.650,0.403,3.540,13.062,-0.732
-0.563,0.644,0.431,3.906,10.376,-0.061
-0.560,0.669,0.410,4.639,10.803,1.587
-0.559,0.675,0.400,5.188,10.193,2.258
-0.554,0.706,0.361,5.615,8.667,2.747
-0.546,0.717,0.424,5.066,4.822,1.709
-0.547,0.707,0.397,5.493,6.042,0.732
-0.532,0.690,0.465,5.005,3.113,0.061
-0.529,0.668,0.486,6.287,5.432,-0.977
-0.531,0.652,0.507,6.165,5.432,-1.221
-0.546,0.655,0.480,6.165,8.484,-0.549
-0.549,0.637,0.453,3.662,7.812,0.427
-0.548,0.656,0.453,2.075,7.812,2.014
-0.547,0.669,0.429,1.221,7.263,1.526
-0.540,0.660,0.459,1.526,5.493,1.099
-0.538,0.658,0.467,2.075,5.676,1.221
-0.536,0.664,0.487,2.686,5.371,1.404
-0.536,0.663,0.508,2.136,4.944,1.526
-0.536,0.671,0.504,1.526,5.676,1.587
-0.546,0.684,0.455,1.160,7.446,0.793
-0.545,0.662,0.438,1.099,7.385,0.000
-0.540,0.657,0.478,1.160,4.822,0.366
-0.542,0.680,0.440,1.831,4.272,1.221
-0.538,0.699,0.457,1.953,2.747,1.343
-0.541,0.684,0.473,1.343,2.380,-0.061
-0.536,0.631,0.531,-0.549,0.977,-0.427
-0.534,0.637,0.539,-0.977,1.709,0.305
-0.538,0.648,0.474,-1.831,4.822,1.587
-0.537,0.680,0.495,-2.197,3.540,2.380
-0.533,0.693,0.510,-1.831,3.418,1.831
-0.542,0.689,0.428,0.000,6.226,0.000
-0.539,0.662,0.424,-0.549,1.221,0.000
-0.528,0.691,0.499,-1.953,1.526,0.305
-0.534,0.672,0.462,-1.465,2.747,-0.854
-0.532,0.654,0.488,-1.709,1.038,-1.038
-0.533,0.648,0.485,-2.625,1.282,-0.671
-0.528,0.635,0.536,-2.869,1.404,-0.305
-0.531,0.638,0.479,-2.075,3.967,-0.061
-0.530,0.659,0.480,-2.869,1.526,0.671
-0.526,0.674,0.512,-2.991,0.610,0.305
-0.527,0.668,0.523,-0.793,2.197,-0.427
-0.522,0.650,0.499,0.732,4.089,-1.038
-0.525,0.642,0.450,0.732,5.676,-0.854
-0.524,0.661,0.474,-0.122,2.563,-0.122
-0.529,0.659,0.476,0.122,1.892,-0.427
-0.526,0.635,0.501,-0.610,1.099,-0.793
-0.523,0.644,0.498,-1.404,1.953,0.244
-0.527,0.649,0.499,-1.587,1.587,0.244
-0.523,0.657,0.503,-1.343,2.563,0.366
-0.524,0.652,0.478,-1.709,2.075,0.427
-0.521,0.660,0.486,-2.319,1.587,0.793
-0.522,0.663,0.484,-1.892,1.221,1.160
-0.518,0.691,0.506,-2.014,0.549,1.587

-1.394,0.998,0.476,11.658,-206.970,2.869
-1.432,1.034,0.592,18.311,-209.473,-19.775
-1.456,0.819,0.756,31.799,-208.191,-25.330
-1.420,0.526,0.935,36.926,-205.139,-36.255
-1.410,0.403,0.900,36.072,-198.303,-35.645
-1.405,0.552,0.872,28.809,-193.848,-21.545
-1.386,0.855,1.062,28.503,-193.665,-19.836
-1.360,0.899,1.087,38.696,-187.561,-40.344
-1.334,0.480,1.031,70.190,-176.636,-53.284
-1.282,0.345,0.910,81.909,-171.021,-48.157
-1.255,0.371,1.175,62.195,-176.086,-39.124
-1.218,0.424,1.251,52.429,-170.898,-34.119
-1.153,0.587,1.428,46.631,-161.377,-30.212
-1.124,0.464,1.271,51.025,-138.123,-39.673
-1.057,0.422,1.167,55.176,-131.592,-41.565
-1.013,0.329,1.117,64.209,-126.953,-42.236
-0.984,0.438,1.066,76.355,-124.023,-40.283
-0.920,0.332,1.151,70.435,-122.925,-46.021
-0.836,0.304,1.093,64.514,-112.122,-44.556
-0.778,0.312,0.959,49.805,-108.643,-45.288
-0.712,0.096,1.168,54.016,-110.962,-40.649
-0.683,0.412,1.247,40.161,-99.976,-21.179
-0.660,0.702,1.276,19.714,-87.219,-15.869
-0.637,0.698,1.286,23.010,-80.078,-21.973
-0.628,0.580,1.167,46.570,-62.866,-35.095
-0.596,0.469,0.947,64.270,-51.941,-39.429
-0.579,0.305,0.909,60.852,-49.866,-40.039
-0.537,0.208,1.034,37.109,-50.354,-25.452
-0.526,0.567,1.039,19.714,-37.537,-7.019
-0.540,0.744,0.959,20.142,-28.259,-10.376
-0.541,0.740,0.900,22.034,-23.621,-15.808
-0.527,0.612,0.742,27.588,-16.235,-24.780
-0.516,0.463,0.733,24.963,-14.648,-23.743
-0.530,0.562,0.734,19.287,-11.475,-15.198
-0.541,0.584,0.699,16.846,-8.789,-13.733
-0.547,0.625,0.671,13.611,-6.348,-11.719
-0.540,0.641,0.607,14.282,-2.075,-12.207
-0.543,0.626,0.568,16.052,-1.038,-13.123
-0.549,0.581,0.575,16.174,-1.038,-12.878
-0.556,0.573,0.526,14.404,1.099,-10.437
-0.555,0.566,0.507,12.512,1.709,-9.155
-0.539,0.589,0.575,9.155,0.916,-5.798
-0.537,0.667,0.488,9.338,5.432,-3.967
-0.538,0.659,0.438,10.437,5.859,-4.700
-0.540,0.652,0.469,10.559,3.296,-4.456
-0.534,0.681,0.499,10.864,3.662,-4.089
-0.537,0.638,0.513,10.864,4.517,-5.615
-0.548,0.631,0.487,9.766,7.385,-4.333
-0.551,0.630,0.456,5.310,8.728,-2.625
-0.555,0.634,0.393,2.441,9.949,-1.526
-0.549,0.648,0.449,0.732,5.188,-0.122
-0.551,0.675,0.433,3.113,7.141,0.122
-0.545,0.676,0.397,4.639,7.690,-0.244
-0.541,0.679,0.458,5.127,4.639,-0.610
-0.540,0.689,0.482,4.639,6.104,-0.793
-0.548,0.679,0.445,4.639,7.996,-1.465
-0.554,0.619,0.415,4.456,7.324,-1.831
-0.559,0.631,0.417,2.991,6.897,0.183
-0.556,0.650,0.436,1.770,6.104,1.160
-0.554,0.679,0.415,0.916,6.836,1.526
-0.552,0.674,0.400,1.404,5.859,0.793
-0.548,0.693,0.418,1.953,4.944,0.916
-0.547,0.690,0.428,3.418,5.127,0.000
-0.547,0.684,0.415,4.578,5.066,-0.305
-0.551,0.654,0.432,3.662,3.906,-0.244
-0.547,0.667,0.456,1.526,4.211,1.343
-0.547,0.677,0.447,0.244,5.188,1.770
-0.550,0.711,0.401,-0.671,6.287,2.014
-0.551,0.694,0.401,-1.526,3.784,0.610
-0.547,0.692,0.439,-1.404,2.625,0.427
-0.545,0.674,0.460,-1.038,3.662,0.000
-0.548,0.692,0.431,-0.854,4.150,0.427
-0.550,0.704,0.419,-1.160,3.967,0.610
-0.557,0.690,0.399,-2.075,3.662,-0.122
-0.552,0.644,0.416,-2.991,1.526,0.000
-0.547,0.666,0.450,-3.296,0.488,1.160
-0.549,0.700,0.434,-1.709,2.197,1.587
-0.548,0.706,0.432,-0.977,1.770,0.549
-0.546,0.703,0.418,-0.427,1.953,0.183
-0.540,0.691,0.446,1.038,1.221,-0.732
-0.545,0.658,0.427,1.465,1.831,-0.977
-0.547,0.668,0.452,0.916,0.732,-0.305
-0.547,0.670,0.432,0.366,1.648,-0.122
-0.551,0.676,0.421,0.427,0.793,0.061
-0.542,0.701,0.433,0.732,-0.061,-0.061
-0.544,0.669,0.396,2.075,0.000,-1.160
-0.543,0.674,0.467,1.953,-2.808,-0.549
-0.536,0.682,0.486,1.770,-2.136,-0.549
-0.539,0.662,0.489,1.282,-0.183,-1.038
-0.537,0.657,0.466,0.427,1.831,-0.488
