accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.274,1.424,1.189,-59.998,-7.019,39.551
-0.310,1.542,1.296,-71.777,-11.597,23.193
-0.358,1.654,1.415,-76.965,-13.306,7.874
-0.398,1.776,1.471,-78.186,-4.578,-8.484
-0.437,1.888,1.467,-83.679,7.080,-26.672
-0.473,1.994,1.476,-90.759,16.174,-45.837
-0.539,2.136,1.530,-99.915,20.813,-66.406
-0.551,2.307,1.583,-97.046,25.940,-89.783
-0.574,2.502,1.646,-94.482,30.273,-117.554
-0.687,2.680,1.639,-92.041,37.964,-151.489
-0.811,2.662,1.511,-82.642,53.955,-202.698
-0.838,2.378,1.371,-83.008,70.557,-267.029
-0.872,2.022,1.338,-80.811,77.454,-320.068
-0.875,1.822,1.374,-74.341,83.984,-347.473
-0.947,1.722,1.411,-70.313,95.703,-362.488
-0.976,1.560,1.371,-74.707,114.868,-383.484
-1.024,1.193,1.310,-73.181,137.329,-416.138
-1.019,0.863,1.282,-68.298,160.645,-442.627
-1.090,0.620,1.174,-48.767,182.129,-450.684
-1.096,0.330,1.048,-28.503,203.430,-454.163
-1.154,0.047,0.962,-39.917,217.041,-459.351
-1.132,-0.207,0.806,-50.232,223.511,-454.285
-1.013,-0.434,0.651,-52.734,223.145,-441.956
-0.990,-0.597,0.498,-56.274,211.243,-424.622
-0.875,-0.769,0.287,-52.063,193.970,-402.954
-0.744,-0.969,0.156,-51.514,172.913,-383.118
-0.602,-1.189,0.158,-49.988,145.508,-363.586
-0.482,-1.346,0.221,-37.598,117.126,-335.144
-0.399,-1.334,0.257,-17.090,95.032,-294.983
-0.331,-1.233,0.229,-8.057,84.351,-254.578
-0.269,-1.209,0.196,-16.418,76.904,-229.370
-0.187,-1.334,0.240,-11.353,62.317,-219.360
-0.152,-1.481,0.373,-2.075,44.861,-206.543
-0.127,-1.548,0.471,0.854,35.034,-182.434
-0.066,-1.589,0.442,7.996,36.682,-151.306
-0.013,-1.618,0.363,3.357,41.382,-122.864
0.033,-1.655,0.317,-16.296,43.213,-98.328
0.099,-1.644,0.292,-36.804,41.626,-71.899
0.166,-1.557,0.270,-44.922,37.537,-42.664
0.213,-1.447,0.264,-43.640,31.677,-17.578
0.218,-1.394,0.267,-33.569,26.123,-1.526
0.194,-1.431,0.243,-20.691,22.583,7.507
